Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Sub-Saharan Africa,SSF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995972009,2.541751087,4.04198905,2.752154431,4.47978977,4.567542307,3.38139785,3.608325223,3.68083149,2.786331072,3.610874271,4.068445274,4.007492391,4.150619733,4.492429095,4.191635081,4.092803329,3.292624442,3.459721131,3.542582274,3.528299948,2.930971724,2.501648923,2.738711139,3.182099965,3.174216042,2.817550577,3.063460336,2.704491972,3.129587158,2.98787776,0
Small states,SST,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,SUR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovak Republic,SVK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0.02537427,1.886332222,3.771534999,1.398758321,3.044706207,0.744757301,0.123120788,12.74713531,22.65237642,26.04922608,29.56962025,31.97795341,36.2911716,42.75233538,49.37418349,49.7924055,51.01369376,51.95299145,47.20555359,48.18020692,47.56370523,47.77075362,49.47364286,43.27607083,44.193447,44.1982996,44.27949635,46.67141078,53.55542568,53.68847313,55.73388799,57.65184277,55.89625739,56.54184741,57.63655563,54.9763373,58.07719054,54.32694163,53.06583163,54.478931,54.69853149,55.13081293,57.09076175,56.87143286
Slovenia,SVN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.14239794,38.85750157,32.16947505,33.11568726,35.74253587,37.00921552,35.59010492,38.09198543,36.72785548,35.40944051,34.94568409,36.34038435,37.86820112,37.67727931,35.74749525,38.92306675,36.70525968,37.85814,38.25233246,34.98750229,34.80159951,39.05120955,35.55441214,33.52520716,37.11472353,38.11837754
Sweden,SWE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0.036667346,0.088890645,0.092898815,0.040917986,0.105060108,0.092415341,0.135269186,2.044575942,2.704330003,2.734655838,14.8587248,18.51213075,22.12826012,25.60290255,22.13094061,27.50114207,36.63633005,39.23647399,37.66361407,41.3132362,42.88957734,50.65829495,46.16138159,47.66789572,45.90318789,46.70717339,52.22902633,43.54237474,42.26937562,51.26559215,47.1600143,52.8163155,46.86674799,46.33952806,47.26746664,39.46540339,44.62328661,46.42876619,49.79723591,51.087537,45.70264894,46.74357579,44.99909288,42.62278677,38.19287869,38.95190624,40.24851252,38.47545002,43.42714875,42.25028329,34.73640007
Eswatini,SWZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),SXM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
