Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014
New Zealand,NZL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.48036687,16.37612256,15.78298397,14.76216512,15.1453958,14.4524736,14.73009271,14.245739,13.93058918,14.07671316,14.13859687,13.47719344,12.50780673,11.6939183,12.29020608,13.11028983,11.64243102,12.10205671,13.62041037,12.98342541,12.60842627,13.5128227,13.13576292,11.85218737,11.64401035,11.50627615,10.53681411,11.15689708,10.65908331,10.93500861,7.404308074,7.181042768,7.271842889,7.145149526,7.265214771,7.234762354,7.164203658,7.370179741,7.444432628,7.322103816,7.758554794,7.651875063,7.415885205,7.09468573,6.992713004,6.930739155,6.90564653,6.922953855,7.137807576,6.885600534,6.905843577,6.741901401,6.768480029,6.674678746,6.544075394
OECD members,OED,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.404164629,9.171518427,8.90057419,8.746337385,8.625181737,8.679052317,8.72731062,8.433549715,8.335888386,7.971748329,8.038683637,7.915895976,8.029449796,7.853565773,7.567995362,8.036411514,8.028925707,7.763427948,7.845863208,7.660024652,7.783938493,7.106131203,7.431683455,7.587842211,6.843261533,7.053965658,6.671383791,6.16409023,6.038631089,8.048828788,7.675798293,6.697721398,6.725213175,7.046872496,6.890854363,6.99523602,6.98925372,6.423005239,6.587950736,6.388755744,6.490968004,5.938105961,6.583931795,6.21140739,6.576863506,6.593412594,6.510793061,6.417474466,6.311186594,6.587150794,6.387218077,6.374167701,6.468431971,6.397898915,6.328610118
Oman,OMN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,15.38461538,11.53846154,12.76595745,12.08791209,12.33766234,12.03007519,11.88118812,11.96581197,12,11.9804401,11.95028681,11.92103265,11.9504644,11.95436508,11.96957566,11.94968553,11.93985849,11.95335277,11.942959,11.95289936,11.78378378,12.90827303,13.13217898,13.40755082,12.46153846,13.81946486,14.38917737,15.85365854,17.37786759,20.29414993,19.0202321,20.40460749,20.94455852,18.55813549,22.18273711,20.43325527,20.13974517,17.88273413,18.10788832,15.27322267,12.99259395,13.6307311,10.94131098,10.88299918
Other small states,OSS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.6969147,14.75953566,14.97584541,15.70121951,14.68428781,15.63421829,15.92920354,17.8470255,17.28395062,15.44359255,11.08870968,6.938669439,6.757072715,6.358036956,6.411012783,6.078467489,7.043393782,6.997582136,6.669282071,6.774586983,6.796696189,6.759825328,6.488336916,6.594143506,5.35763298,5.27757676,4.290380771,6.026081635,5.706400783,5.443234837,5.972275889,6.461668911,6.437747277,7.330250669,7.8288354,8.73538535,9.113238299,7.807694861,8.765153072,8.062012418,7.607292062,8.172796264,7.719377319,7.154736723,6.875985574,7.621972402,7.493133551,7.378491703,8.438841552,8.208882698,7.476229967,6.79553322,6.628481643,6.727373117,6.201582813
Pakistan,PAK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,26.25462229,26.25462229,23.73164617,23.15754634,25.25902827,28.02325581,28.10517606,27.97575758,25.45505856,29.08374516,25.79379903,24.86431479,25.07996142,25.09486582,20.288658,20.28606042,21.77124342,21.67356683,20.08323459,20.72571868,19.85100789,22.19012497,22.79943135,22.76351414,22.81194585,23.43171247,24.61105301,30.4135844,26.68440255,24.26742616,26.06378572,26.47548346,25.20227638,24.56761144,24.0374243,22.31069207,19.59210127,21.1709745,19.88002978,16.22626716,16.88295299,17.0319896,16.26888043,17.13556661
Panama,PAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,9.343715239,11.02284012,13.23155216,13.92827356,13.82893685,14.63068182,12.77740417,13.38215712,13.69014085,15.67328918,16.28887717,17.04980843,15.31933899,18.49841701,19.38016529,20.13915733,20.85361288,20.20320438,24.84496124,26.00526118,25.48387097,24.14743369,22.62472196,21.63046712,21.31287298,21.23430962,23.52505554,21.54617037,19.56331878,23.85921833,20.80405933,20.95220102,18.57962697,16.94150321,15.96018534,15.47837702,14.11090458,12.10894942,14.69269704,14.33021807,14.35694196,13.83238405,13.61911141,14.29955852
Peru,PER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,9.174928583,7.585877863,9.594594595,11.65475536,10.1002004,11.15462355,11.04927536,11.41031492,12.16537133,12.97976274,12.39769345,11.02785614,9.464519753,9.980447165,11.7083643,12.03274637,13.25146366,14.12337662,13.80491003,13.63702202,10.91700041,17.53543667,18.21312804,20.58489853,18.64469772,16.69175544,16.06396612,12.88829071,12.04831933,11.48438285,10.76138223,10.35345494,10.10731111,9.725829726,9.337621083,9.31720155,8.486184892,8.196114709,8.156943727,10.12538312,5.805267318,8.456553829,10.49050706,10.96968902
Philippines,PHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,4.997266266,5.000961723,4.732291825,4.790373266,5.003657644,5.00815439,5,5.160211041,4.497211729,1.699150425,11.56971425,12.75894053,13.06982381,14.79225685,16.45436177,17.15457233,19.15908489,17.71873344,14.84769092,15.11755992,12.38254903,15.73637418,15.94491892,15.53608349,17.08574152,16.68527242,15.16948514,14.06753572,13.88781618,14.00971517,12.1424017,12.31765944,12.86361919,12.91527423,12.05119593,12.12510787,12.76274513,12.62721757,12.11059253,11.51427475,11.10211634,11.46446154,10.28485638,9.40954156
Palau,PLW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
